Country,Rank,LifeExpectancy
Japan,1,83.7
Switzerland,2,83.4
Singapore,3,83.1
Australia,4,82.8
Spain,4,82.8
Iceland,6,82.7
Italy,6,82.7
Israel,8,82.5
Sweden,9,82.4
France,9,82.4
South Korea,11,82.3
Canada,12,82.2
Luxembourg,13,82
Netherlands,14,81.9
Norway,15,81.8
Malta,16,81.7
New Zealand,17,81.6
Austria,18,81.5
Ireland,19,81.4
United Kingdom,20,81.2
Belgium,21,81.1
Finland,21,81.1
Portugal,21,81.1
Germany,24,81
Greece,24,81
Slovenia,26,80.8
Denmark,27,80.6
Cyprus,28,80.5
Chile,28,80.5
Costa Rica,30,79.6
United States,31,79.3
Cuba,32,79.1
Czech Republic,33,78.8
Maldives,34,78.5
Qatar,35,78.2
Croatia,36,78
Albania,37,77.8
Panama,37,77.8
Brunei,39,77.7
Estonia,40,77.6
Poland,41,77.5
Bosnia and Herzegovina,42,77.4
United Arab Emirates,43,77.1
Uruguay,44,77
Bahrain,45,76.9
Mexico,46,76.7
Slovakia,46,76.7
Oman,48,76.6
Antigua and Barbuda,49,76.4
Argentina,50,76.3
Jamaica,51,76.2
Ecuador,51,76.2
China,53,76.1
Montenegro,53,76.1
Bahamas,53,76.1
Vietnam,56,76
Hungary,57,75.9
Turkey,58,75.8
Macedonia,59,75.7
Algeria,60,75.6
Serbia,60,75.6
Iran,62,75.5
Peru,62,75.5
Barbados,62,75.5
Tunisia,65,75.3
Saint Lucia,66,75.2
Malaysia,67,75
Romania,67,75
Brazil,67,75
Lebanon,70,74.9
Thailand,70,74.9
Sri Lanka,70,74.9
Armenia,73,74.8
Nicaragua,73,74.8
Colombia,73,74.8
Kuwait,76,74.7
Honduras,77,74.6
Mauritius,77,74.6
Latvia,77,74.6
Saudi Arabia,80,74.5
Bulgaria,80,74.5
Georgia,82,74.4
Morocco,83,74.3
Jordan,84,74.1
Venezuela,84,74.1
Paraguay,86,74
Samoa,86,74
Dominican Republic,88,73.9
Grenada,89,73.6
Lithuania,89,73.6
Tonga,91,73.5
El Salvador,91,73.5
Cape Verde,93,73.3
Saint Vincent and the Grenadines,94,73.2
Seychelles,94,73.2
Libya,96,72.7
Azerbaijan,96,72.7
Belarus,98,72.3
Moldova,99,72.1
Vanuatu,100,72
Guatemala,101,71.9
Bangladesh,102,71.8
Suriname,103,71.6
Ukraine,104,71.3
Trinidad and Tobago,105,71.2
Kyrgyzstan,106,71.1
Egypt,107,70.9
Bolivia,108,70.7
North Korea,109,70.6
Russia,110,70.5
Kazakhstan,111,70.2
Belize,112,70.1
Fiji,113,69.9
Bhutan,114,69.8
Tajikistan,115,69.7
Micronesia,116,69.4
Uzbekistan,116,69.4
Solomon Islands,118,69.2
Nepal,118,69.2
Indonesia,120,69.1
Iraq,121,68.9
Mongolia,122,68.8
Cambodia,123,68.7
Philippines,124,68.5
India,125,68.3
Timor-Leste,125,68.3
Sao Tome and Principe,127,67.5
Senegal,128,66.7
Myanmar,129,66.6
Pakistan,130,66.4
Kiribati,131,66.3
Turkmenistan,131,66.3
Guyana,133,66.2
Rwanda,134,66.1
Gabon,135,66
Namibia,136,65.8
Yemen,137,65.7
Laos,137,65.7
Botswana,137,65.7
Madagascar,140,65.5
Ethiopia,141,64.8
Congo,142,64.7
Eritrea,142,64.7
Syria,144,64.5
Sudan,145,64.1
Comoros,146,63.5
Djibouti,146,63.5
Haiti,146,63.5
Kenya,149,63.4
Mauritania,150,63.1
Papua New Guinea,151,62.9
South Africa,151,62.9
Ghana,153,62.4
Uganda,154,62.3
Niger,155,61.8
Tanzania,155,61.8
Zambia,155,61.8
Liberia,158,61.4
Gambia,159,61.1
Zimbabwe,160,60.7
Afghanistan,161,60.5
Benin,162,60
Burkina Faso,163,59.9
Togo,163,59.9
DR Congo,165,59.8
Burundi,166,59.6
Guinea,167,59
Guinea-Bissau,168,58.9
Swaziland,168,58.9
Malawi,170,58.3
Mali,171,58.2
Equatorial Guinea,171,58.2
Mozambique,173,57.6
South Sudan,174,57.3
Cameroon,174,57.3
Somalia,176,55
Nigeria,177,54.5
Lesotho,178,53.7
Cote d'Ivoire,179,53.3
Chad,180,53.1
Central African Republic,181,52.5
Angola,182,52.4
Sierra Leone,183,50.1
