Rank,Country,CrudeRate,AgeStandardizedRate,Rank (male),Male rate,Rank (female),Female rate,Male–Female ratio
1,Sri Lanka (more info),35.3,34.6,1,58.8,9,13.3,4.42
2,Guyana (more info),29.0,30.6,5,46.0,1,15.5,2.97
3,Mongolia,28.3,28.1,2,48.2,21,9.2,5.24
4,Kazakhstan (more info),27.5,27.5,3,48.1,17,9.6,5.01
5,Côte d'Ivoire,18.1,27.2,8,38.8,3,14.4,2.69
6,Suriname,26.6,26.9,6,41.6,11,12.6,3.30
7,Equatorial Guinea,22.6,26.6,7,39.1,10,13.2,2.96
8,Lithuania (more info),32.7,26.1,4,47.1,30,8.1,5.81
9,Angola,20.5,25.9,9,38.1,5,14.3,2.66
10,South Korea (more info),32.0,24.1,10,36.1,8,13.4,2.69
11,Sierra Leone,15.4,22.1,16,29.7,2,14.7,2.02
12,Bolivia,18.7,20.5,21,26.7,3,14.4,1.85
13,Central African Republic,17.4,19.6,15,30.3,20,9.3,3.26
14,Belarus,22.8,19.1,11,35.0,81,5.4,6.48
15,Poland,22.3,18.5,12,32.7,93,4.9,6.67
16,Zimbabwe,10.5,18.0,20,26.9,12,10.3,2.61
17,Russia (more info),20.1,17.9,13,32.2,72,5.6,5.75
17,Swaziland,14.7,17.9,18,27.3,17,9.6,2.84
19,Cameroon (more info),11.9,17.5,19,27.1,26,8.5,3.19
20,Latvia,21.7,17.4,14,31.9,95,4.8,6.65
21,Ukraine (more info),20.1,16.6,17,28.7,54,6.2,4.63
22,Burkina Faso,9.2,16.5,25,25.1,13,10.1,2.49
23,Belgium,20.5,16.1,30,23.4,23,9.1,2.57
24,India (more info),17.9,16.0,65,17.9,7,14.2,1.26
25,Hungary,21.6,15.7,23,25.8,42,6.9,3.74
26,Japan (more info),19.7,15.4,36,21.7,21,9.2,2.36
26,Togo,9.5,15.4,32,23.1,25,8.7,2.66
28,Uruguay,17.0,15.2,24,25.2,49,6.3,4.00
28,North Koreab,15.8,15.2,72,17.3,6,14.3,1.21
30,Nigeria,9.9,15.1,42,20.3,14,9.9,2.05
31,Slovenia,21.4,15.0,26,24.5,60,6.0,4.08
31,Benin,9.4,15.0,33,22.7,28,8.4,2.70
33,Estonia,18.9,14.9,22,26.4,95,4.8,5.50
34,Kiribati,–,14.8,29,23.6,46,6.6,3.58
35,Finland,16.3,14.2,37,21.4,39,7.2,2.97
35,Chad,8.8,14.2,38,20.9,32,7.9,2.65
37,Laos,12.3,14.0,53,18.5,14,9.9,1.87
38,Argentina,14.2,13.9,28,23.7,95,4.8,4.94
39,Lesotho,10.4,13.6,45,19.9,29,8.2,2.43
40,Eritrea,6.7,13.2,30,23.4,81,5.4,4.33
40,Trinidad and Tobago,14.6,13.2,34,22.4,103,4.5,4.98
42,Burundi,8.0,13.0,42,20.3,49,6.3,3.22
43,Mozambique (more info),8.4,12.9,41,20.5,43,6.7,3.06
44,Ethiopia,8.4,12.8,39,20.7,72,5.6,3.70
44,Cambodia,11.9,12.8,65,17.9,26,8.5,2.11
46,Thailand,16.0,12.7,58,18.2,33,7.7,2.36
46,Sweden (more info),15.4,12.7,68,17.8,35,7.6,2.34
48,Ugandab,7.2,12.6,56,18.3,35,7.6,2.41
48,United States (more info),14.3,12.6,46,19.5,66,5.8,3.36
48,Rwanda,8.5,12.6,27,24.3,119,3.5,6.94
48,Botswana,9.7,12.6,46,19.5,54,6.2,3.15
52,Moldova,14.8,12.5,35,22.3,112,3.9,5.72
52,Gabon,10.9,12.5,60,18.1,40,7.0,2.59
54,Comoros,7.4,12.3,74,17.2,31,8.0,2.15
54,France (more info),16.9,12.3,51,19.0,64,5.9,3.22
54,New Zealand,12.6,12.3,52,18.7,49,6.3,2.97
54,South Africa,10.7,12.3,39,20.7,90,5.1,4.06
